Age,Family_Size,Location,Monthly_Income_INR,Current_Brand,Replacement_Frequency,Primary_Channel,Willing_to_Pay_Premium,Japanese_Brand_Bias
38,1,Thane,80000,Lifebuoy,Monthly,Hypermarket (D-Mart),No,3
49,5,Eastern Suburbs,60000,Lifebuoy,Weekly,Organic Store,No,4
20,2,Eastern Suburbs,110000,Dettol,Monthly,Local Kirana,No,4
39,3,Thane,100000,Godrej Protekt,Every 2 Weeks,Online,No,4
44,3,Thane,110000,Palmolive,Every 2 Weeks,Local Kirana,Yes,4
39,3,Western Suburbs,350000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,3
34,5,Western Suburbs,275000,Other/Organic,Weekly,Local Kirana,Yes,4
31,3,Eastern Suburbs,75000,Local/Other,Monthly,Local Kirana,No,4
26,4,Eastern Suburbs,115000,Palmolive,Weekly,Local Kirana,Yes,3
58,5,Thane,75000,Lifebuoy,Weekly,Local Kirana,No,4
25,2,Eastern Suburbs,50000,Dettol,Monthly,Local Kirana,No,4
38,4,Thane,70000,Dettol,Weekly,Online,No,1
35,2,South Mumbai,245000,Other/Organic,Monthly,Online (Blinkit/BigBasket),Yes,5
34,2,Eastern Suburbs,75000,Lifebuoy,Every 2 Weeks,Hypermarket (D-Mart),Maybe,3
35,4,Western Suburbs,135000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,5
27,2,Western Suburbs,125000,Savlon,Every 2 Weeks,Online (Blinkit/BigBasket),No,4
28,5,Navi Mumbai,135000,Dettol,Weekly,Local Kirana,Yes,5
27,2,Navi Mumbai,85000,Savlon,Monthly,Local Kirana,No,4
42,3,Navi Mumbai,95000,Dettol,Monthly,Local Kirana,Maybe,3
33,3,Western Suburbs,145000,Dettol,Every 2 Weeks,Organic Store,Yes,4
47,3,Eastern Suburbs,70000,Dettol,Monthly,Hypermarket (D-Mart),No,3
26,4,South Mumbai,270000,Dove,Weekly,Local Kirana,Yes,4
32,2,Eastern Suburbs,90000,Dettol,Every 2 Weeks,Local Kirana,Maybe,3
36,3,Thane,120000,Dettol,Monthly,Organic Store,No,2
28,4,Navi Mumbai,135000,Savlon,Weekly,Hypermarket (D-Mart),Yes,4
28,3,Western Suburbs,185000,Dove,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,5
43,2,Eastern Suburbs,110000,Savlon,Every 2 Weeks,Local Kirana,Maybe,2
29,4,South Mumbai,330000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,5
42,4,Western Suburbs,345000,Palmolive,Weekly,Large Supermarket,Yes,4
41,4,Thane,55000,Santoor,Weekly,Local Kirana,Maybe,4
41,3,Western Suburbs,170000,Dettol,Monthly,Organic Store,Yes,5
28,3,Western Suburbs,255000,Dove,Every 2 Weeks,Organic Store,Yes,3
45,4,Western Suburbs,125000,Lifebuoy,Weekly,Large Supermarket,Maybe,4
41,3,South Mumbai,385000,Dettol,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,5
52,5,Western Suburbs,170000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,4
33,4,Navi Mumbai,70000,Lifebuoy,Weekly,Hypermarket (D-Mart),No,3
40,2,Eastern Suburbs,100000,Dettol,Quarterly,Hypermarket (D-Mart),No,4
37,4,Eastern Suburbs,55000,Savlon,Weekly,Online,No,5
38,2,Navi Mumbai,100000,Godrej Protekt,Monthly,Hypermarket (D-Mart),No,3
25,6,Thane,100000,Dettol,Weekly,Online,No,3
18,1,Eastern Suburbs,100000,Palmolive,Every 2 Weeks,Local Kirana,Yes,5
45,3,Western Suburbs,170000,Godrej Protekt,Monthly,Online (Blinkit/BigBasket),Yes,4
33,3,Eastern Suburbs,105000,Lifebuoy,Monthly,Hypermarket (D-Mart),No,3
24,6,South Mumbai,170000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,5
64,1,Thane,95000,Dettol,Monthly,Local Kirana,Maybe,3
64,1,South Mumbai,335000,Dove,Monthly,Online (Blinkit/BigBasket),Yes,3
23,2,Western Suburbs,295000,Other/Organic,Monthly,Online (Blinkit/BigBasket),Yes,5
32,2,Eastern Suburbs,140000,Godrej Protekt,Every 2 Weeks,Local Kirana,Yes,4
37,2,Western Suburbs,230000,Palmolive,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,4
38,3,Navi Mumbai,105000,Dettol,Every 2 Weeks,Online,Maybe,3
39,3,South Mumbai,385000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,3
18,4,Western Suburbs,180000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,5
46,4,Western Suburbs,185000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,4
21,2,Eastern Suburbs,160000,Other/Organic,Monthly,Local Kirana,Yes,5
38,3,Western Suburbs,210000,Godrej Protekt,Monthly,Online (Blinkit/BigBasket),Yes,3
38,4,South Mumbai,300000,Palmolive,Weekly,Organic Store,Yes,5
40,1,Western Suburbs,135000,Godrej Protekt,Every 2 Weeks,Large Supermarket,Yes,2
19,3,Western Suburbs,250000,Palmolive,Monthly,Online (Blinkit/BigBasket),Yes,4
37,2,Navi Mumbai,55000,Lifebuoy,Monthly,Local Kirana,No,3
48,2,Eastern Suburbs,65000,Santoor,Monthly,Hypermarket (D-Mart),No,3
41,4,Western Suburbs,155000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,4
35,2,South Mumbai,265000,Dettol,Monthly,Organic Store,Yes,4
45,2,Navi Mumbai,90000,Dettol,Quarterly,Online,Maybe,3
45,1,Navi Mumbai,110000,Dettol,Quarterly,Organic Store,No,3
36,3,Eastern Suburbs,160000,Palmolive,Monthly,Local Kirana,Yes,4
38,3,South Mumbai,315000,Palmolive,Monthly,Online (Blinkit/BigBasket),Yes,4
47,5,Navi Mumbai,100000,Dettol,Weekly,Local Kirana,No,2
36,5,South Mumbai,345000,Other/Organic,Weekly,Online (Blinkit/BigBasket),Yes,5
30,4,Navi Mumbai,125000,Lifebuoy,Weekly,Hypermarket (D-Mart),No,3
26,2,Western Suburbs,170000,Palmolive,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,5
18,4,South Mumbai,190000,Other/Organic,Weekly,Large Supermarket,Yes,4
46,5,South Mumbai,245000,Godrej Protekt,Weekly,Online (Blinkit/BigBasket),Yes,4
48,3,Thane,60000,Lifebuoy,Every 2 Weeks,Local Kirana,No,4
51,4,Western Suburbs,130000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,4
61,4,Western Suburbs,115000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,4
39,4,South Mumbai,265000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,4
45,3,Western Suburbs,110000,Dettol,Monthly,Online (Blinkit/BigBasket),No,2
63,4,Eastern Suburbs,100000,Godrej Protekt,Weekly,Hypermarket (D-Mart),Maybe,3
42,4,Thane,105000,Godrej Protekt,Weekly,Hypermarket (D-Mart),No,4
51,2,Navi Mumbai,125000,Palmolive,Every 2 Weeks,Hypermarket (D-Mart),Yes,4
49,2,South Mumbai,350000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,3
38,4,Western Suburbs,155000,Godrej Protekt,Weekly,Online (Blinkit/BigBasket),Yes,4
38,4,Navi Mumbai,140000,Dettol,Weekly,Hypermarket (D-Mart),Yes,4
31,3,Thane,90000,Dettol,Monthly,Local Kirana,No,4
40,1,South Mumbai,115000,Dettol,Monthly,Large Supermarket,No,3
20,2,Western Suburbs,270000,Godrej Protekt,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,3
21,6,Navi Mumbai,70000,Dettol,Weekly,Online,No,4
19,6,Eastern Suburbs,105000,Palmolive,Weekly,Local Kirana,Yes,3
36,3,Western Suburbs,295000,Dove,Quarterly,Online (Blinkit/BigBasket),Yes,4
43,4,Thane,95000,Godrej Protekt,Weekly,Local Kirana,Maybe,4
49,3,Thane,55000,Lifebuoy,Monthly,Local Kirana,Maybe,3
37,3,Eastern Suburbs,155000,Palmolive,Monthly,Local Kirana,Yes,4
31,4,South Mumbai,205000,Godrej Protekt,Weekly,Organic Store,Yes,3
35,2,Navi Mumbai,75000,Local/Other,Every 2 Weeks,Local Kirana,No,3
33,3,Navi Mumbai,95000,Dettol,Monthly,Local Kirana,Maybe,4
38,4,Western Suburbs,270000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,3
51,1,South Mumbai,410000,Palmolive,Monthly,Large Supermarket,Yes,5
45,3,Thane,100000,Dettol,Monthly,Local Kirana,No,3
40,4,Eastern Suburbs,70000,Lifebuoy,Weekly,Local Kirana,Maybe,5
24,4,Thane,85000,Savlon,Weekly,Hypermarket (D-Mart),No,3
23,4,Western Suburbs,110000,Dettol,Weekly,Online (Blinkit/BigBasket),No,4
46,3,Thane,70000,Dettol,Quarterly,Local Kirana,No,4
54,3,Eastern Suburbs,165000,Other/Organic,Monthly,Local Kirana,Yes,4
52,4,Eastern Suburbs,75000,Santoor,Weekly,Online,Maybe,4
35,2,Western Suburbs,295000,Dove,Monthly,Online (Blinkit/BigBasket),Yes,5
32,6,Eastern Suburbs,90000,Godrej Protekt,Weekly,Local Kirana,No,3
35,2,South Mumbai,145000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,4
18,4,Navi Mumbai,110000,Dettol,Weekly,Local Kirana,Maybe,3
32,4,Navi Mumbai,120000,Savlon,Weekly,Online,Maybe,5
35,3,South Mumbai,410000,Palmolive,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,4
36,1,Thane,55000,Local/Other,Quarterly,Local Kirana,No,2
34,3,Eastern Suburbs,115000,Godrej Protekt,Every 2 Weeks,Local Kirana,Maybe,4
42,6,Navi Mumbai,65000,Santoor,Weekly,Local Kirana,No,2
45,5,Western Suburbs,240000,Dove,Weekly,Large Supermarket,Yes,4
31,5,Thane,90000,Godrej Protekt,Weekly,Local Kirana,No,4
27,4,Western Suburbs,395000,Palmolive,Weekly,Local Kirana,Yes,5
39,4,Western Suburbs,255000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,4
47,4,Western Suburbs,270000,Dove,Weekly,Organic Store,Yes,4
34,3,South Mumbai,220000,Dove,Monthly,Online (Blinkit/BigBasket),Yes,5
28,2,Western Suburbs,110000,Godrej Protekt,Monthly,Large Supermarket,No,3
36,3,Western Suburbs,90000,Dettol,Monthly,Local Kirana,No,4
51,4,Eastern Suburbs,140000,Lifebuoy,Weekly,Local Kirana,Yes,4
33,5,Western Suburbs,105000,Lifebuoy,Weekly,Online (Blinkit/BigBasket),Maybe,4
26,3,Eastern Suburbs,155000,Dove,Monthly,Hypermarket (D-Mart),Yes,4
29,2,Navi Mumbai,70000,Santoor,Every 2 Weeks,Local Kirana,No,2
18,6,South Mumbai,250000,Dettol,Weekly,Large Supermarket,Yes,5
41,4,South Mumbai,350000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,4
20,4,Western Suburbs,310000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,5
44,3,Navi Mumbai,105000,Dettol,Monthly,Local Kirana,No,3
42,2,Western Suburbs,115000,Dettol,Monthly,Large Supermarket,No,3
52,3,Western Suburbs,370000,Palmolive,Monthly,Online (Blinkit/BigBasket),Yes,3
46,6,Western Suburbs,125000,Dettol,Weekly,Large Supermarket,No,5
23,3,Western Suburbs,110000,Savlon,Every 2 Weeks,Organic Store,Maybe,3
39,3,Eastern Suburbs,95000,Dettol,Monthly,Organic Store,No,4
33,1,Eastern Suburbs,120000,Lifebuoy,Every 2 Weeks,Hypermarket (D-Mart),Maybe,5
34,4,Eastern Suburbs,100000,Godrej Protekt,Weekly,Hypermarket (D-Mart),No,3
23,6,Western Suburbs,325000,Dove,Weekly,Organic Store,Yes,4
27,4,Eastern Suburbs,75000,Savlon,Weekly,Hypermarket (D-Mart),No,4
24,3,South Mumbai,150000,Lifebuoy,Monthly,Online (Blinkit/BigBasket),Yes,4
59,3,Western Suburbs,320000,Dove,Quarterly,Organic Store,Yes,3
31,5,Western Suburbs,295000,Dettol,Weekly,Large Supermarket,Yes,5
34,2,Western Suburbs,240000,Palmolive,Quarterly,Large Supermarket,Yes,4
35,4,Navi Mumbai,115000,Dettol,Weekly,Local Kirana,Maybe,4
29,1,South Mumbai,165000,Other/Organic,Monthly,Local Kirana,Yes,4
36,3,Western Suburbs,120000,Godrej Protekt,Every 2 Weeks,Large Supermarket,No,2
28,6,Western Suburbs,105000,Godrej Protekt,Weekly,Local Kirana,Maybe,3
31,2,South Mumbai,305000,Palmolive,Monthly,Local Kirana,Yes,4
19,4,Navi Mumbai,95000,Savlon,Weekly,Local Kirana,No,4
30,3,Western Suburbs,280000,Godrej Protekt,Monthly,Online (Blinkit/BigBasket),Yes,4
31,2,Western Suburbs,260000,Palmolive,Monthly,Online (Blinkit/BigBasket),Yes,4
25,4,South Mumbai,240000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,4
31,4,Eastern Suburbs,110000,Dettol,Weekly,Local Kirana,No,3
28,4,Navi Mumbai,90000,Dettol,Weekly,Hypermarket (D-Mart),Maybe,4
59,4,Thane,105000,Godrej Protekt,Weekly,Hypermarket (D-Mart),Maybe,3
41,3,Eastern Suburbs,135000,Dettol,Every 2 Weeks,Hypermarket (D-Mart),Yes,4
21,3,South Mumbai,335000,Godrej Protekt,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,4
49,3,South Mumbai,115000,Dettol,Quarterly,Online (Blinkit/BigBasket),No,4
22,2,Eastern Suburbs,125000,Palmolive,Monthly,Local Kirana,Yes,4
52,4,South Mumbai,350000,Godrej Protekt,Weekly,Online (Blinkit/BigBasket),Yes,5
24,3,Western Suburbs,220000,Other/Organic,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,3
39,3,Western Suburbs,275000,Dettol,Monthly,Organic Store,Yes,5
33,4,Western Suburbs,250000,Dettol,Weekly,Large Supermarket,Yes,5
39,5,Western Suburbs,100000,Dettol,Weekly,Local Kirana,No,3
36,4,Navi Mumbai,110000,Savlon,Weekly,Hypermarket (D-Mart),No,2
55,5,Western Suburbs,230000,Dettol,Weekly,Online (Blinkit/BigBasket),Yes,4
33,4,Eastern Suburbs,85000,Savlon,Weekly,Hypermarket (D-Mart),No,3
49,4,Western Suburbs,75000,Santoor,Weekly,Local Kirana,No,3
34,3,Western Suburbs,130000,Dettol,Monthly,Local Kirana,Yes,5
54,5,Western Suburbs,220000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,4
48,2,Navi Mumbai,100000,Savlon,Monthly,Local Kirana,No,3
58,4,Eastern Suburbs,155000,Palmolive,Weekly,Hypermarket (D-Mart),Yes,5
48,4,Eastern Suburbs,150000,Savlon,Weekly,Local Kirana,Yes,4
28,2,South Mumbai,190000,Dove,Monthly,Local Kirana,Yes,3
24,4,Thane,95000,Dettol,Weekly,Local Kirana,No,5
56,2,Western Suburbs,170000,Palmolive,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,5
37,3,Navi Mumbai,135000,Dettol,Monthly,Online,Yes,3
41,3,Navi Mumbai,90000,Dettol,Every 2 Weeks,Hypermarket (D-Mart),No,3
45,2,Western Suburbs,220000,Palmolive,Monthly,Large Supermarket,Yes,5
25,2,Thane,105000,Dettol,Every 2 Weeks,Hypermarket (D-Mart),No,3
35,1,Navi Mumbai,60000,Local/Other,Every 2 Weeks,Local Kirana,No,2
38,4,Western Suburbs,330000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,4
44,2,Western Suburbs,210000,Dove,Quarterly,Large Supermarket,Yes,3
27,4,Western Suburbs,210000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,4
32,4,Thane,80000,Dettol,Weekly,Local Kirana,No,4
31,3,Western Suburbs,230000,Dove,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,5
28,4,Navi Mumbai,75000,Lifebuoy,Weekly,Local Kirana,Maybe,3
20,5,Navi Mumbai,125000,Palmolive,Weekly,Local Kirana,Yes,5
45,3,Eastern Suburbs,115000,Dettol,Monthly,Hypermarket (D-Mart),Maybe,3
18,4,Navi Mumbai,100000,Godrej Protekt,Weekly,Hypermarket (D-Mart),Maybe,4
22,4,Thane,95000,Dettol,Weekly,Online,No,4
29,5,Western Suburbs,230000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,4
36,6,Eastern Suburbs,105000,Lifebuoy,Weekly,Hypermarket (D-Mart),No,4
33,2,Western Suburbs,80000,Savlon,Monthly,Hypermarket (D-Mart),No,4
27,4,South Mumbai,350000,Dove,Weekly,Large Supermarket,Yes,5
50,3,Western Suburbs,170000,Dove,Monthly,Online (Blinkit/BigBasket),Yes,4
45,2,Western Suburbs,150000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,4
49,3,Navi Mumbai,120000,Savlon,Quarterly,Hypermarket (D-Mart),Maybe,4
49,1,Navi Mumbai,70000,Savlon,Every 2 Weeks,Hypermarket (D-Mart),Maybe,2
37,3,Eastern Suburbs,85000,Dettol,Monthly,Hypermarket (D-Mart),No,4
43,4,Thane,65000,Local/Other,Weekly,Hypermarket (D-Mart),No,3
18,5,South Mumbai,265000,Dove,Weekly,Local Kirana,Yes,3
30,4,South Mumbai,400000,Palmolive,Weekly,Organic Store,Yes,4
38,4,Western Suburbs,85000,Lifebuoy,Weekly,Hypermarket (D-Mart),Maybe,3
43,2,Navi Mumbai,110000,Savlon,Every 2 Weeks,Local Kirana,Maybe,3
44,3,Eastern Suburbs,95000,Godrej Protekt,Every 2 Weeks,Online,No,2
45,2,Navi Mumbai,60000,Lifebuoy,Monthly,Local Kirana,No,3
36,1,Thane,100000,Savlon,Every 2 Weeks,Local Kirana,No,4
43,3,Navi Mumbai,80000,Savlon,Monthly,Hypermarket (D-Mart),No,5
53,4,Western Suburbs,245000,Palmolive,Weekly,Online (Blinkit/BigBasket),Yes,5
33,4,South Mumbai,420000,Godrej Protekt,Weekly,Large Supermarket,Yes,3
29,2,Eastern Suburbs,100000,Savlon,Every 2 Weeks,Local Kirana,Maybe,4
33,2,Thane,85000,Dettol,Every 2 Weeks,Local Kirana,Maybe,2
32,4,South Mumbai,270000,Dove,Weekly,Online (Blinkit/BigBasket),Yes,4
27,4,Thane,55000,Lifebuoy,Weekly,Local Kirana,No,3
31,3,Eastern Suburbs,105000,Savlon,Quarterly,Hypermarket (D-Mart),No,3
30,2,Western Suburbs,105000,Godrej Protekt,Monthly,Online (Blinkit/BigBasket),Maybe,4
26,3,Eastern Suburbs,145000,Dettol,Every 2 Weeks,Local Kirana,Yes,4
49,3,Thane,85000,Dettol,Monthly,Online,No,4
29,5,Thane,45000,Dettol,Weekly,Local Kirana,Maybe,4
34,4,Western Suburbs,100000,Dettol,Weekly,Hypermarket (D-Mart),Maybe,2
46,4,Navi Mumbai,90000,Godrej Protekt,Weekly,Local Kirana,Maybe,3
51,4,Navi Mumbai,125000,Lifebuoy,Weekly,Local Kirana,Maybe,4
50,4,Eastern Suburbs,135000,Dettol,Weekly,Local Kirana,Yes,3
25,1,Western Suburbs,230000,Godrej Protekt,Monthly,Online (Blinkit/BigBasket),Yes,4
48,4,Western Suburbs,170000,Palmolive,Weekly,Local Kirana,Yes,3
27,3,Eastern Suburbs,55000,Dettol,Quarterly,Local Kirana,Maybe,4
23,1,South Mumbai,330000,Dove,Every 2 Weeks,Organic Store,Yes,4
34,5,South Mumbai,280000,Dettol,Weekly,Local Kirana,Yes,5
34,3,Western Suburbs,170000,Dove,Every 2 Weeks,Large Supermarket,Yes,5
43,3,Eastern Suburbs,95000,Dettol,Every 2 Weeks,Local Kirana,Maybe,3
36,3,Western Suburbs,215000,Palmolive,Monthly,Large Supermarket,Yes,4
39,4,Eastern Suburbs,130000,Dettol,Weekly,Local Kirana,Yes,5
65,2,South Mumbai,435000,Other/Organic,Monthly,Online (Blinkit/BigBasket),Yes,3
39,2,Thane,95000,Dettol,Monthly,Online,Maybe,3
35,5,Eastern Suburbs,125000,Dettol,Weekly,Local Kirana,Maybe,4
38,3,Navi Mumbai,100000,Palmolive,Quarterly,Local Kirana,Yes,1
40,6,Navi Mumbai,75000,Lifebuoy,Weekly,Online,No,4
34,3,Navi Mumbai,100000,Lifebuoy,Every 2 Weeks,Local Kirana,No,4
27,3,Navi Mumbai,85000,Palmolive,Every 2 Weeks,Local Kirana,Yes,4
46,3,Thane,40000,Santoor,Monthly,Hypermarket (D-Mart),Maybe,3
43,4,Navi Mumbai,125000,Godrej Protekt,Weekly,Local Kirana,No,5
18,1,South Mumbai,220000,Palmolive,Monthly,Organic Store,Yes,3
36,3,South Mumbai,145000,Savlon,Monthly,Large Supermarket,Yes,4
34,3,South Mumbai,195000,Palmolive,Monthly,Organic Store,Yes,4
32,3,Western Suburbs,150000,Godrej Protekt,Quarterly,Large Supermarket,Yes,5
26,5,Western Suburbs,200000,Dove,Weekly,Large Supermarket,Yes,5
38,2,Eastern Suburbs,140000,Palmolive,Monthly,Hypermarket (D-Mart),Yes,4
40,3,Eastern Suburbs,115000,Dettol,Every 2 Weeks,Hypermarket (D-Mart),Maybe,3
29,3,Navi Mumbai,110000,Dettol,Monthly,Local Kirana,Maybe,4
28,3,Navi Mumbai,80000,Palmolive,Monthly,Hypermarket (D-Mart),Yes,3
45,3,Thane,115000,Dettol,Monthly,Local Kirana,Maybe,3
41,4,Eastern Suburbs,190000,Dettol,Weekly,Organic Store,Yes,3
29,4,Navi Mumbai,105000,Dettol,Weekly,Local Kirana,No,3
20,2,Eastern Suburbs,100000,Dettol,Every 2 Weeks,Hypermarket (D-Mart),No,2
31,4,Navi Mumbai,90000,Palmolive,Weekly,Local Kirana,Yes,4
18,2,Navi Mumbai,105000,Godrej Protekt,Monthly,Hypermarket (D-Mart),Maybe,4
38,3,Navi Mumbai,85000,Dettol,Every 2 Weeks,Local Kirana,Maybe,3
33,3,Navi Mumbai,85000,Savlon,Monthly,Local Kirana,No,3
58,3,Thane,95000,Palmolive,Monthly,Organic Store,Yes,3
33,3,South Mumbai,110000,Dettol,Monthly,Online (Blinkit/BigBasket),Maybe,4
37,4,Western Suburbs,90000,Palmolive,Weekly,Hypermarket (D-Mart),Yes,3
18,3,Navi Mumbai,60000,Lifebuoy,Every 2 Weeks,Local Kirana,No,3
36,6,Eastern Suburbs,65000,Dettol,Weekly,Local Kirana,Maybe,3
50,4,South Mumbai,170000,Dettol,Weekly,Large Supermarket,Yes,4
23,3,Western Suburbs,320000,Palmolive,Monthly,Organic Store,Yes,5
24,6,Navi Mumbai,95000,Dettol,Weekly,Local Kirana,No,3
45,3,South Mumbai,265000,Dove,Every 2 Weeks,Online (Blinkit/BigBasket),Yes,4
40,2,Western Suburbs,345000,Palmolive,Quarterly,Local Kirana,Yes,4
36,2,Navi Mumbai,90000,Savlon,Every 2 Weeks,Hypermarket (D-Mart),No,3
40,4,Western Suburbs,135000,Savlon,Weekly,Large Supermarket,Yes,4
51,2,Western Suburbs,210000,Dettol,Monthly,Online (Blinkit/BigBasket),Yes,5
